fid,display_name,verified_addresses,casts_count
194341,AzaraSUI,"['0x1a708f64a1bc537ffe636d0721f1371b01cc59be', '0xa0a0a480a44282fba9f556b893532f5281226232']",13
7963,Timur Badretdinov,['0x72aa5ad78fb4f2e567a5df833dad12f60b52db63'],13
3635,android 16,"['0xfc8bfa5d9b87e75541ecb2750319c20717744967', '0xfecbbfec931a06c0cf7b008cf3c013457f610a22']",13
1137,Ivy 🌿 q/dau,"['0x21c6553a199a9c794aa77ae8a8d80751dfcdc0d1', '0x21c6553a199a9c794aa77ae8a8d80751dfcdc0d1']",13
190528,haredog,['0xfb9e5f5874565a6ef8fcf1debc4975501331a8ca'],13
196238,Simitej ,"['0x7bcdffc9adf07f9b69bd34b8fa7c3f94c8dc3b6c', '0x7bcdffc9adf07f9b69bd34b8fa7c3f94c8dc3b6c', '0x7bcdffc9adf07f9b69bd34b8fa7c3f94c8dc3b6c']",13
195769,Emre,['0x92616db33b534e8f2c5281396cb9c1dd88470365'],13
21977,yilian,[],12
18310,Snehasish Dan,"['0xfeb87506f16fd58557a60737a7b708dbee90dbe9', '0xfeb87506f16fd58557a60737a7b708dbee90dbe9']",12
5620,welter.eth,['0x02ac33835070d0c90bef87c273514e67aea36ef8'],12
19356,Meysamnl,['0xb82880e217478907cc9b1e5795d75d3257608ce0'],12
1886,billzh - l/dau,['0xd1eaefbeffd4106a1a166cd26a1fe23140d6a42e'],12
4256,Mark,"['0x337839612def7463bf9d64c9887c8e1ffd4c3886', '0x337839612def7463bf9d64c9887c8e1ffd4c3886', '0x337839612def7463bf9d64c9887c8e1ffd4c3886', '0xa1a750080e96293dceb237c76b9ca10c20e1b49f']",12
5774,tldr (tim reilly),"['0x7ad252facf5f1115b22ea0a4d63e8770573d78a2', '0x8f761218cc7fb6f0c501998e34753bb3f85babd2']",12
4923,antimo — q/dau,['0xfa922ce609fed47950e3f48662c9651d42ada194'],12
2588,Connor McCormick q/dau,['0x4f8c531df3d97c6cd437ac8dfe756975445d1161'],11
7097,m_j_r,['0xb03f5438f9a243de5c3b830b7841ec315034cd5f'],11
3206,YB,['0x28a69640810fcdcf6adb7119edd64eed4612fa49'],11
5925,Daniel Lombraña,['0x12cba59f5a74db81a12ff63c349bd82cbf6007c2'],11
472,ccarella,"['0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f', '0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f', '0x3b60e31cfc48a9074cd5bebb26c9eaa77650a43f']",11
195304,KingMan,['0x20b70b2162b7be899878aaa5358b3de5c84793b5'],11
12335,Brais.eth (🥝),['0x380604e85e772f51014636aa72b107f163609dde'],11
2282,Gökhan 🧬💾🚀,['0x36de990133d36d7e3df9a820aa3ede5a2320de71'],11
14488,Hardeep,['0xe397dd922a12149dc346c405c89c4cdbf5ae99fc'],11
191213,Jacob ,[],11
4179,maurelian - q/dau,['0x13489a7f09ea0dfe9fdc41390cfbb57f4b6ff0b3'],11
191832,Luffy,['0x98b2e9bb3fea78b6f2bbb2e289dd11012be79c54'],11
369,robin,['0x70d04384b5c3a466ec4d8cfb8213efc31c6a9d15'],10
188259,a1z2,"['0x4fe56c3eff1137b871d509413310d800e8a0aebf', '0x4fe56c3eff1137b871d509413310d800e8a0aebf']",10
7620,Cyber Shakti ,['0xa6bcb89f21e0bf71e08ded426c142757791e17cf'],10
9280,Brennen,['0x2666f0c8fb58d182f2dd79475dca4a07b3724607'],10
193896,Tanhuynh90,['0x99f7c566b1512f0804403e6e6b23c4c6675a3b45'],10
