fid,fname,cast_count,verified_addresses
208432,honglong,3,['0x9170be5c8486269dc6d60cc8b9e5530662119e16']
208199,jschafer1949,3,"['0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795', '0xd30b39f1c2ea6928c0e744d048658d88f4cff795']"
210906,nakadaole,3,[]
210105,clamato,3,[]
209021,xrpp-secretary,3,[]
206651,nightmare,3,[]
210516,tokio,3,['0xed93a4e89ad6c27318eab868aa1efd2eb97fa13f']
209334,ssh,3,[]
210943,foxmail,3,[]
210617,snoliver,3,"['0x5c8a41078064b48d562c02f375709baf026d0eab', '0x5c8a41078064b48d562c02f375709baf026d0eab']"
210409,yahmcha,3,[]
208899,dav1834,3,[]
210864,ardin,3,['0xf71eb59210eed86e727d76f434a2694238213deb']
210962,satoshipe,3,[]
209013,rirogan,3,[]
206751,laminar78613,3,"['0x6a6c5ccbfa0cae89932daef59c622fd4972f33f6', '0x6a6c5ccbfa0cae89932daef59c622fd4972f33f6']"
208732,spacio,3,"['0xca0eb6e2524438b5876bf8194ef6b245c238e147', '0xce368bec3169dd29c4a816d227637ea3373b2c2e']"
210716,planb,3,[]
210367,tokyometal,3,"['0x7493d9a44ed2fd1c8316a94e0c181f878942aa31', '0x7493d9a44ed2fd1c8316a94e0c181f878942aa31']"
209191,ideonks,3,"['0x4a8fad342af1db5317f909714382b478eb4d1846', '0x4a8fad342af1db5317f909714382b478eb4d1846']"
210731,imalvarodelgado,3,['0xabbd7605a2141e29f946c6a3bcb7a205ec9ae26e']
206257,phuckodclown,3,[]
210864,cx330.eth,3,['0xf71eb59210eed86e727d76f434a2694238213deb']
210841,bandarbtc,3,[]
210376,skippywalks,3,[]
207640,brucewang,3,['0x4af7df0227c7101096502c7a085a9372de8b53c6']
210466,nutella,3,[]
210838,beeon,3,[]
210826,prince27,3,[]
207867,bjornnl,3,['0xeffabdca809b3dabf83fcbf8f3088faf465d873a']
210849,beanz,3,['0x78ddbd2fb330213a07dce803b930b17cb6070bdb']
210323,sillydragon,2,[]
209307,drdank,2,['0x3b6b2d159de7fb9fbc0851a9d9052990f9107b9b']
208644,hqdlaty,2,[]
210919,somekindainsight,2,[]
210920,ktamiruuu,2,[]
210428,moneta,2,['0xcc9fa8096cfa0b2cd5b2471ee6d883d6025a795d']
210922,astrodavid1,2,[]
210232,michaelbry1980,2,[]
210430,aisconnolly,2,[]
208108,metabeef,2,[]
210927,nekobeaa,2,[]
207994,thornsoul,2,"['0xe95c0ae1a52afbe20368ec87ffe979fd59964212', '0xe95c0ae1a52afbe20368ec87ffe979fd59964212', '0xe95c0ae1a52afbe20368ec87ffe979fd59964212', '0xe95c0ae1a52afbe20368ec87ffe979fd59964212', '0xe95c0ae1a52afbe20368ec87ffe979fd59964212']"
210720,yedamax,2,[]
208076,richierich,2,[]
209568,squidlipsstarkey,2,['0x2586ba83696a92b5467aaa0cf9eec052f28f2c02']
209655,seychi243,2,[]
209457,rayj,2,[]
210434,,2,[]
210435,simonsun,2,[]
208974,thegenius,2,[]
210515,elizaoak,2,[]
207923,basphlem,2,"['0xa520763de99d72e36962ff826a634b9ac75237e7', '0xa520763de99d72e36962ff826a634b9ac75237e7']"
207745,frumblab,2,[]
209450,veltpro,2,[]
209073,capitanmeta,2,[]
210757,tfg,2,['0xb7fc0c0e31a416b3c26f9a7c0c3046c4b40169f2']
210442,vybui99,2,[]
206228,crankitup,2,['0x0311663d459db2314b6f8f2859e535ff6da56eed']
210628,ethan666,2,[]
210444,grandczar,2,[]
208695,captain-,2,"['0xafdf736083184e1a37bbf021a16daf4496091637', '0xafdf736083184e1a37bbf021a16daf4496091637']"
210488,dusfi,2,[]
210749,oktobear06,2,[]
208273,metacfo,2,[]
210673,trajectory,2,[]
210843,hantown,2,[]
208445,poopmaster,2,['0x5001f992df93dc089c356514eec6ac40b0e1c792']
206576,dubdips,2,[]
207318,baoshan,2,"['0x61fbba3cf26197744dc27d4ff7789c88ea83300a', '0x61fbba3cf26197744dc27d4ff7789c88ea83300a']"
207863,merlinz0r,2,"['0xc0ed4f9dde1173c7370d9c2064ebaf6968e7f465', '0xc0ed4f9dde1173c7370d9c2064ebaf6968e7f465', '0xc0ed4f9dde1173c7370d9c2064ebaf6968e7f465']"
210679,eckowidow88,2,[]
210853,ho193,2,[]
210831,dj-orakle,2,['0xf02ff9828480d93b79cf5018efd1419cef4a2780']
209623,cryptomane420,2,['0x0eaea94b84ef62fa7e30624041051537561ea470']
207440,chang,2,['0x4c269a2c583c38c4e37c7dc477d4306d22744e28']
210830,xumuk,2,[]
206790,matsvri,2,[]
210823,points,2,[]
210288,craiglough,2,"['0x845db3dcdbca7e2d453300e6714a56fd684e2355', '0x845db3dcdbca7e2d453300e6714a56fd684e2355']"
206378,vincesenju,2,"['0x5de4011f6f26bb4fd1c10226001034363710983e', '0x5de4011f6f26bb4fd1c10226001034363710983e', '0x5de4011f6f26bb4fd1c10226001034363710983e', '0x5de4011f6f26bb4fd1c10226001034363710983e']"
210664,tote,2,[]
210326,microbalance,2,[]
210870,chengwen,2,[]
210577,puppy,2,"['0x952071da2f68e46550df06988dcf598a2986d0d8', '0x952071da2f68e46550df06988dcf598a2986d0d8']"
207156,steward1977,2,[]
206724,pepelin,2,[]
207400,dev0ps,2,[]
210659,asimosan,2,['0x5faa22b10b055441fdc0fe929d0b3de316a15c1e']
210596,fractalicia,2,[]
210371,walrus-yo,2,[]
207210,larsbk,2,['0xfab075ce731d201134d59996567366b126f5d366']
