fid,fname,cast_count,verified_addresses,
199858,achrafkrissi,2,"['0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d', '0x8610ac2f9f5d3e00aa77e28111944d1e9bb6c58d']",
196667,0xgrush,2,['0x98e1d3b9153092ca5c5f2102741b950023bff0de'],
196857,superliz,2,[],
197055,lereflecteur,2,['0xc92ef6b1426be8fcb048831ab0555e1577a16e28'],
200434,speerman,2,[],
196876,pran,2,['0x86995f4a229b5a6512bf46b0a65df450f37de109'],
199309,edis0145,2,[],
199741,markob,2,['0x9c47ee252db3253c370633da17d1ce054a136c56'],
197015,,2,[],
198551,corvoz,2,[],
199217,thefatiq,2,[],
199075,cryptotomz,2,['0xbff0310e18497bed4199e3a6ad13ac1a8e799cc4'],
196877,saidur,2,[],
196841,addcrypto1,2,[],
199274,jockytran,2,[],
197761,dabdragon,2,[],
196595,maheshkumar.eth,2,[],
199131,lumaheihei,2,[],
200690,fernlovescrypto,2,"['0x1d22d3fa598ec29208ee42ff13923d010fbe697e', '0x1d22d3fa598ec29208ee42ff13923d010fbe697e', '0x1d22d3fa598ec29208ee42ff13923d010fbe697e']",
198612,tole,2,['0x4b8af62938c7fe93fae0ece0b5974a9c1e13cc79'],
200003,cryptoroyalty,2,['0xfe2575c6402e56fa977651ea30bbfa0d3b4ae578'],
200120,monky,2,[],
197912,abker,2,['0x59c95f3f22b59fd325621f093ceda15645e1769c'],
198704,pio,2,[],
200684,ozaixd,2,[],
198616,assetsavingssys,2,[],
